FILENAME	CHUNK_COUNTER	CHUNK	ALIGNNMENT_ID
afr-x-bible-1953.txt	1	HERE	1
dan-x-bible-1931.txt	1	HERRE	1
deu-x-bible-elberfelder1871.txt	3	Jehova	1
deu-x-bible-elberfelder1905.txt	3	Jehova	1
deu-x-bible-freebible.txt	3	Jahwe	1
deu-x-bible-gruenewalder.txt	3	Herr	1
deu-x-bible-luther1545.txt	1	HERR	1
deu-x-bible-luther1545letztehand.txt	1	HERR	1
deu-x-bible-luther1912.txt	1	HERR	1
deu-x-bible-menge.txt	3	HERR	1
deu-x-bible-neue.txt	6	Jahwe	1
deu-x-bible-pattloch.txt	3	Herr	1
deu-x-bible-schlachter.txt	3	HERR	1
deu-x-bible-tafelbibel.txt	4	Jehovah	1
deu-x-bible-textbibel.txt	3	Jahwe	1
deu-x-bible-zuercher.txt	3	o	1
deu-x-bible-zuercher.txt	4	Herr	1
eng-x-bible-darby.txt	3	O	1
eng-x-bible-darby.txt	4	Jehovah	1
eng-x-bible-kingjames.txt	3	O	1
eng-x-bible-kingjames.txt	4	LORD	1
eng-x-bible-literal.txt	1	O	1
eng-x-bible-literal.txt	2	Jehovah	1
eng-x-bible-newsimplified.txt	1	O	1
eng-x-bible-newsimplified.txt	2	Jehovah	1
nds-x-bible-nds.txt	4	(	1
nds-x-bible-nds.txt	5	Harr	1
nds-x-bible-nds.txt	6	)	1
nld-x-bible-statenvertaling.txt	1	HEERE	1
nld-x-bible-statenvertaling.txt	2	!	1
nor-x-bible-1930.txt	7	Herre	1
nor-x-bible-student.txt	1	Herre	1
swe-x-bible-folk1998.txt	1	Herre	1
afr-x-bible-1953.txt	33	!	2
dan-x-bible-1931.txt	21	!	2
deu-x-bible-elberfelder1871.txt	24	!	2
deu-x-bible-elberfelder1905.txt	24	!	2
deu-x-bible-freebible.txt	24	!	2
deu-x-bible-gruenewalder.txt	25	!	2
deu-x-bible-luther1545.txt	25	!	2
deu-x-bible-luther1545letztehand.txt	24	.	2
